Author,Title,Journal,Year,Volume,Number,Pages,Month,Abstract,Publisher,Address,Type,Language,Affiliation,DOI,ISSN,EISSN,Keywords,Areas,Categories,entry_type,citation_key,Editor,Booktitle,Series,Note,ISBN,Plus,Organization,Affiliations,References,Cited,days,2013,ISO,Index,ID,DA,Numbers,Acknowledgement,Text,EarlyAccessDate,OA
"Roth, V and Straub, T and Richter, K",Security and usability engineering with particular attention to    electronic mail,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,2005,63,1-2,51-73,JUL,"Support for strong electronic mail security is widely available yet only    few communicants appear to make use of these features. Apparently, the    operational overhead of security outweighs its perceived benefits.    Towards increasing the benefits versus overhead ratio we follow an    approach that considers security and usability tradeoffs from the    outset. We separate key exchange from binding keys to identities. The    best effort key exchange and key maintenance scheme that we devise    operates transparently for the user. We also describe complementary    visualization and interaction techniques that communicate the security    state of sent and received mail to users in a non-intrusive fashion.    Structured interviews were conducted with 19 users to assess the    usability of the metaphors and the complementary visualizations of the    security state. Towards a practical assessment of the overheads of    binding keys to identities, we conducted a quantitative analysis of 17    users' anonymized mailbox extracts to determine which security    mechanisms would be most appropriate for their communication patterns.    We argue that for individual non-commercial users, out-of-band    verification of keys could be more economical than building trust in    public key certificates issued by third parties. (c) 2005 Elsevier Ltd.    All rights reserved.",ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Article,English,"OGM Lab LLC, Omaha, NE 68106 USA.    OGM Lab LLC, Omaha, NE 68106 USA.    Tech Univ Darmstadt, D-64289 Darmstadt, Germany.    Zentrum Graph Datenverarbeitung EV, D-64283 Darmstadt, Germany.",10.1016/j.ijhcs.2005.04.015,1071-5819,1095-9300,security engineering; usability and security; secure electronic mail;    human-computer interaction; transparent encryption; transparent digital    signatures,Computer Science; Engineering; Psychology,"Computer Science, Cybernetics; Ergonomics; Psychology, Multidisciplinary",article,WOS:000230237500004,,,,,,,,,,,,,,,,,,,,,
"Fan, Linna and Ma, Yufeng and Kou, Wanli and Kang, Dong and Wang, Tianqi",Mail Security Gateway Mechanism for Email Security,,2015,13,,1709-1716,,"In order to solve the problem that email is not safe when transmitted in    external link, the paper designed the Mail Security Gateway. It can    encrypt and sign the email for its users and change the user as least as    possible. The analysis shows that the Mail Security Gateway can provide    security enhancement such as confidentiality, integrity, non repudiation    and is very convenient to deploy in trans regional company.",ATLANTIS PRESS,"29 AVENUE LAVMIERE, PARIS, 75019, FRANCE",Proceedings Paper,English,"Fan, LN (Corresponding Author), Xian Commun Inst, Xian, Peoples R China.    Fan, Linna; Ma, Yufeng; Kou, Wanli; Kang, Dong; Wang, Tianqi, Xian Commun Inst, Xian, Peoples R China.",,2352-538X,,Email; Security; Gateway,Automation \& Control Systems; Computer Science,"Automation \& Control Systems; Computer Science, Information Systems;    Computer Science, Interdisciplinary Applications; Computer Science,    Theory \& Methods",inproceedings,WOS:000365413200228,"Liang, H and Wang, W",PROCEEDINGS OF THE 2015 INTERNATIONAL SYMPOSIUM ON COMPUTERS \&    INFORMATICS,ACSR-Advances in Computer Science Research,"International Symposium on Computers and Informatics (ISCI), Beijing,    PEOPLES R CHINA, JAN 17-18, 2015",978-94-62520-56-1,,,,,,,,,,,,,,,,
"Ferreira, Lucas and Anacleto, Junia",Usability in Solutions of Secure Email - A Tools Review,,2017,10292,,57-73,,"The adoption of Information and Communication Technologies in personal,    social and corporative environments is increasingly evident, bringing    complexity, interdisciplinarity and diversity to the study on    information security in an era marked by decentralization and ubiquity.    As this phenomenon becomes increasingly common, concerns intensify    regarding security, secrecy, privacy, and information governance.    Consequently, secure tools have gained more evidence and new solutions    are emerging. However, literature shows the difficulty of adopting these    secure solutions, even though they are efficient for information    security, reinforcing the need for more effective security and privacy    models on the Web to increase their adoption by users in general. Thus,    it is necessary that the approaches to the development of security and    privacy solutions be understood by the users, facilitating their    adoption, without disregarding their contexts of use. Therefore, a    review of such solutions seems necessary. In this article, we    instantiate the usable security field for secure email and presented a    review of the main tools, seeking to understand the implemented task    model of each tool. With an analytical evaluation, we verified the    compliance of these solutions with the usable security guidelines    existing in the literature. Finally, we contribute to the usable    security field by indicating in which directions secure email tools    might be developed to accommodate the usable security guidelines.",SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",Proceedings Paper,English,"Ferreira, L (Corresponding Author), Univ Fed Sao Carlos, Comp Sci Dept, Adv Interact Lab LIA, Sao Carlos, SP, Brazil.    Ferreira, Lucas; Anacleto, Junia, Univ Fed Sao Carlos, Comp Sci Dept, Adv Interact Lab LIA, Sao Carlos, SP, Brazil.",10.1007/978-3-319-58460-7\_5,0302-9743,1611-3349,Security and usability; Secure email; Secure email tools,Computer Science,"Computer Science, Theory \& Methods",inproceedings,WOS:000431846800005,"Tryfonas, T","HUMAN ASPECTS OF INFORMATION SECURITY, PRIVACY AND TRUST (HAS 2017)",Lecture Notes in Computer Science,"5th International Conference on Human Aspects of Information Security,    Privacy and Trust (HAS) Held as Part of 19th International Conference on    Human-Computer Interaction (HCI International), Vancouver, CANADA, JUL    09-14, 2017",978-3-319-58460-7; 978-3-319-58459-1,SYSTEMS; DESIGN,,,,,,,,,,,,,,,
ACM,Private Webmail 2.0: Simple and Easy-to-Use Secure Email,,2016,,,461-472,,"Private Webmail 2.0 (Pwm 2.0) improves upon the current state of the art    by increasing the usability and practical security of secure email for    ordinary users. More users are able to send and receive encrypted emails    without mistakenly revealing sensitive information. In this paper we    describe four user interface traits that positively affect the usability    and security of Pwm 2.0. In a user study involving 51 participants we    validate that these interface modifications result in high usability,    few mistakes, and a strong understanding of the protection provided to    secure email messages. We also show that the use of manual encryption    has no effect on usability or security.",ASSOC COMPUTING MACHINERY,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",Proceedings Paper,English,"Ruoti, S (Corresponding Author), Brigham Young Univ, Provo, UT 84602 USA.    Ruoti, S (Corresponding Author), Sandia Natl Labs, Livermore, CA 94550 USA.    Ruoti, Scott; Andersen, Jeff; Hendershot, Travis; Zappala, Daniel; Seamons, Kent, Brigham Young Univ, Provo, UT 84602 USA.    Ruoti, Scott, Sandia Natl Labs, Livermore, CA 94550 USA.",10.1145/2984511.2984580,,,Security; Usability; Secure email; Encryption,Computer Science,"Computer Science, Cybernetics; Computer Science, Software Engineering",inproceedings,WOS:000387605000043,,UIST 2016: PROCEEDINGS OF THE 29TH ANNUAL SYMPOSIUM ON USER INTERFACE    SOFTWARE AND TECHNOLOGY,,"29th Annual Symposium on User Interface Software and Technology (UIST),    Tokyo, JAPAN, OCT 16-19, 2016",978-1-4503-4531-6,SUS,ACM SIGCHI; ACM SIGGRAPH; AUTODESK; Recruit Inst Technol; Google; Google    ATAP; Microsoft; FXPAL; Adobe; Sony Comp Sci Lab Inc; INNOLAB; Sensel;    Unity; Yahoo Japan; Yukai Engn; Dynam Graph Project; TL; Synaptics;    Oculus,,,,,,,,,,,,,,
"Kambourakis, Georgios and Gil, Gerard Draper and Sanchez, Ignacio",What Email Servers Can Tell to Johnny: An Empirical Study of    Provider-to-Provider Email Security,IEEE ACCESS,2020,8,,130066-130081,,"With hundred billions of emails sent daily, the adoption of contemporary    email security standards and best practices by the respective providers    are of utmost importance to everyone of us. Leaving out the    user-dependent measures, say, S/MIME and PGP, this work concentrates on    the current security standards adopted in practice by providers to    safeguard the communications among their SMTP servers. To this end, we    developed a non-intrusive tool coined MECSA, which is publicly available    as a web application service to anyone who wishes to instantly assess    the security status of their email provider regarding both the inbound    and outbound communication channels. By capitalising on the data    collected by MECSA over a period of 15 months, that is, approximate to    7,650 assessments, analysing a total of 3,236 unique email providers, we    detail on the adoption rate of state-of-the-art email security    extensions, including STARTTLS, SPF, DKIM, DMARC, and MTA-STS. Our    results indicate a clear increase in encrypted connections and in the    use of SPF, but also considerable retardation in the penetration rate of    the rest of the standards. This tardiness is further aggravated by the    still low prevalence of DNSSEC, which is also appraised for the email    security space in the context of this work.",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",Article,English,"Kambourakis, G (Corresponding Author), European Commiss, Joint Res Ctr JRC, I-21027 Ispra, Italy.    Kambourakis, Georgios; Gil, Gerard Draper; Sanchez, Ignacio, European Commiss, Joint Res Ctr JRC, I-21027 Ispra, Italy.",10.1109/ACCESS.2020.3009122,2169-3536,,Electronic mail; Security; Servers; Protocols; Standards; Internet;    Postal services; Email security; Internet measurement; network security;    SMTP,Computer Science; Engineering; Telecommunications,"Computer Science, Information Systems; Engineering, Electrical \&    Electronic; Telecommunications",article,WOS:000551879000001,,,,,,,,,,,,,,,,,,,,,
"Reuter, Adrian and Boudaoud, Karima and Winckler, Marco and    Abdelmaksoud, Ahmed and Lemrazzeq, Wadie",Secure Email - A Usability Study,,2020,12063,,36-46,,"Several end-to-end encryption technologies for emails such as PGP and    S/MIME exist since decades. However, end-to-end encryption is barely    applied. To understand why users hesitate to secure their email    communication and which usability issues they face with PGP, S/MIME as    well as with pEp (Pretty Easy Privacy), a fairly new technology, we    conducted an online survey and user testing. We found that more than    60\% of e-mail users are unaware of the existence of such encryption    technologies and never tried to use one. We observed that above all,    users are overwhelmed with the management of public keys and struggle    with the setup of encryption technology in their mail software. Even    though users struggle to put email encryption into practice, we    experienced roughly the same number of users being aware of the    importance of email encryption. Particularly, we found that users are    very concerned about identity theft, as 78\% want to make sure that no    other person is able to write email in their name.",SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",Proceedings Paper,English,"Boudaoud, K (Corresponding Author), Univ Cote dAzur, I3S, CNRS, Sophia Antipolis, France.    Reuter, Adrian, Tech Univ Munich, Arcisstr 21, D-80333 Munich, Germany.    Boudaoud, Karima; Winckler, Marco; Abdelmaksoud, Ahmed; Lemrazzeq, Wadie, Univ Cote dAzur, I3S, CNRS, Sophia Antipolis, France.",10.1007/978-3-030-54455-3\_3,0302-9743,1611-3349,Mail encryption; User study; Usability; PGP; S/MIME; pEp,Business \& Economics; Computer Science; Communication; Government \&    Law,"Business, Finance; Computer Science, Information Systems; Communication;    Computer Science, Interdisciplinary Applications; Computer Science,    Theory \& Methods; Political Science",inproceedings,WOS:000713505900003,"Bernhard, M and Bracciali, A and Camp, LJ and Matsuo, S and Maurushat, A and Ronne, PB and Sala, M","FINANCIAL CRYPTOGRAPHY AND DATA SECURITY, FC 2020",Lecture Notes in Computer Science,"24th International Conference on Financial Cryptography and Data    Security (FC), Kota Kinabalu, MALAYSIA, FEB 14-14, 2020",978-3-030-54455-3; 978-3-030-54454-6,,,,,,,,,,,,,,,,
"Kiuchi, T and Ohe, K and Kaihara, S",Using a WWW-based mail user agent for secure electronic mail service for    health care users,METHODS OF INFORMATION IN MEDICINE,1998,37,125FX,247-253,SEP,"WWW-based user interface is presented for secure electronic mail service    for healthcare users. Using this method, communications between an    electronic mail (WWW) server and users (WWW browsers) can be performed    securely using Secure Socket Layer protocol-based Hypertext Transfer    Protocol (SSL-HTTP). The mail can be encrypted, signed, and sent to the    recipients and vice versa on the remote WWW server. The merit of this    method is that many healthcare users can use a secure electronic mail    system easily and immediately, because SSL-compatible WWW browsers are    widely used and this system can be made available simply by installing a    WWW-based mail user agent on a mail server. We implemented a WWW-based    mail user agent which is compatible with PEM-based secure mail and made    it available to about 16,000 healthcare users. We believe this approach    is effective in facilitating secure network-based information exchange    among medical professionals.",F K SCHATTAUER VERLAG GMBH,"P O BOX 10 45 45, LENZHALDE 3, D-70040 STUTTGART, GERMANY",Article,English,"Kiuchi, T (Corresponding Author), Tokyo Univ Hosp, Hosp Comp Ctr, Univ Med Informat Network Ctr, Bunkyo Ku, 7-3-1 Hongo, Tokyo 113, Japan.    Tokyo Univ Hosp, Hosp Comp Ctr, Univ Med Informat Network Ctr, Bunkyo Ku, Tokyo 113, Japan.",,0026-1270,,World Wide Web; electronic mail; security,Computer Science; Health Care Sciences \& Services; Medical Informatics,"Computer Science, Information Systems; Health Care Sciences \& Services;    Medical Informatics",article,WOS:000076227700006,,,,,,,,University of Tokyo,16,8,0,0,Methods Inf. Med.,Science Citation Index Expanded (SCI-EXPANDED),WOS:000076227700006,2025-07-09,,,,,
"Malatras, A. and Coisel, I. and Sanchez, I.",Technical Recommendations for Improving Security of Email Communications,,2016,,,1381-1386,,"With billions of emails exchanged worldwide on a daily basis, email is    nowadays considered to be one of the most widespread forms of digital    communications. The massive deployment of this technology is certainly    due to its ease of use and interoperability. This advantageous ubiquity    of email communications comes nonetheless at the cost of security, which    is often side-lined in favour of maintaining backwards compatibility    with older versions of the protocols and considering security features    as optional to ensure compatibility between providers. As a consequence,    email communications often fall short of protecting the privacy and the    authenticity of the information exchanged. Taking into account the fact    that email is used to exchange private and personal information, the    latter risks become extremely prominent. We review here the outstanding    privacy and security risks in worldwide email communications and we    describe a set of practical countermeasures, based on combinations of    existing standards, which are capable of effectively mitigating the    identified risks. Based on this analysis we provide a set of technical    recommendations to be followed by email providers in order to enhance    security, whilst preserving compatibility in the ecosystem.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Malatras, A (Corresponding Author), European Commiss, Joint Res Ctr, Ispra, Italy.    Malatras, A.; Coisel, I.; Sanchez, I., European Commiss, Joint Res Ctr, Ispra, Italy.",,,,secure email; security; privacy,Engineering; Science \& Technology - Other Topics; Telecommunications,"Engineering, Electrical \& Electronic; Nanoscience \& Nanotechnology;    Telecommunications",inproceedings,WOS:000391360600218,"Biljanovic, P and Butkovic, Z and Skala, K and Grbac, TG and CicinSain, M and Sruk, V and Ribaric, S and Gros, S and Vrdoljak, B and Mauher, M and Tijan, E and Lukman, D","2016 39TH INTERNATIONAL CONVENTION ON INFORMATION AND COMMUNICATION    TECHNOLOGY, ELECTRONICS AND MICROELECTRONICS (MIPRO)",,"39th International Convention on Information and Communication    Technology, Electronics and Microelectronics (MIPRO), Opatija, CROATIA,    MAY 30-JUN 03, 2016",978-953-233-088-5,,"MIPRO Croatian Soc; IEEE Region 8; Republ Croatia, Minist Sci Educ \&    Sports; Republ Croatia, Minist Maritime Affairs, Transport \&    Infrastructure; Republ Croatia, Minist Entrepreneurship \& Crafts;    Republ Croatia, Minist Public Adm; Croatian Chamber Economy; Univ    Rijeka; Univ Zagreb; IEEE Croatia Sect; IEEE Croatia Sect Comp Chapter;    IEEE Croatia Sect Electron Devices Solid State Circuits Joint Chapter;    IEEE Croatia Sect Educ Chapter; IEEE Croatia Sect Commun Chapter; T    Croatian Telecom; Ericsson Nikola Tesla; Koncar Elect Ind; HEP Croatian    Elect Co; VIPnet; Univ Zagreb, Fac Elect Engn \& Comp; Rudjer Boskovic    Inst; Univ Rijeka, Fac Maritime Studies; Univ Rijeka, Fac Engn; Univ    Rijeka, Fac Econ; Univ Zagreb, Fac Org \& Informat; Univ Rijeka, Fac    Tourism \& Hospital Management; Polytechn Zagreb; EuroCloud Croatia;    Croatian Regulatory Author Network Ind; Croatian Post;    Erste\&Steiermarkische bank; Selmet; CISEx; Kermas energija; Rezultanta;    River Publishers; InfoDom; Hewlett Packard Croatia; IN2; Transmitters \&    Commun Co; Storm Comp; Nokia; King ICT; Microsoft Croatia; Micro Link;    Mjerne tehnologije; Altpro; Danieli Automat; ib proCADD; Nomen",,,,,,,,,,,,,,
USENIX ASSOC    USENIX ASSOC    USENIX ASSOC,Why Johnny can't encrypt: A usability evaluation of PGP 5.0,,1999,,BN78C,169-183,,"User errors cause or contribute to most computer security failures, yet    user interfaces for security still tend to be clumsy, confusing, or    near-nonexistent. Is this simply due to a failure to apply standard user    interface design techniques to security? We argue that, on the contrary,    effective security requires a different usability standard, and that it    will not be achieved through the user interface design techniques    appropriate to other types of consumer software.    To test this hypothesis, we performed a case study of a security program    which does have a good user interface by general standards: PGP 5.0. Our    case study used a cognitive walkthrough analysis together with a    laboratory user test to evaluate whether PGP 5.0 can be successfully    used by cryptopraphy novices to achieve effective electronic mail    security. The analysis found a number of user interface design flaws    that may contribute to security failures, and the user test demonstrated    that when our test participants were given 90 minutes in which to sign    and encrypt a message using PGP 5.0, the majority of them were unable to    do so successfully.    We conclude that PGP 5.0 is not usable enough to provide effective    security for most computer users, despite its attractive graphical user    interface, supporting our hypothesis that user interface design for    effective security remains an open problem. We close with a brief    description of our continuing work on the development and application of    user interface design principles and techniques for security.",USENIX ASSOC,"SUITE 215, 2560 NINTH ST, BERKELEY, CA 94710 USA",Proceedings Paper,English,"Whitten, A (Corresponding Author), Carnegie Mellon Univ, Sch Comp Sci, Pittsburgh, PA 15213 USA.    Carnegie Mellon Univ, Sch Comp Sci, Pittsburgh, PA 15213 USA.",,,,,Computer Science,"Computer Science, Software Engineering",inproceedings,WOS:000082926600014,,USENIX ASSOCIATION PROCEEDINGS OF THE EIGHTH USENIX SECURITY SYMPOSIUM    (SECURITY `99),,"8th USENIX Security Symposium (Security 99), WASHINGTON, D.C., AUG    23-26, 1999",1-880446-28-6,,USENIX Assoc; CERT Coordinat Ctr,Carnegie Mellon University,20,270,0,9,,Conference Proceedings Citation Index - Science (CPCI-S),WOS:000082926600014,2025-07-09,,,,,
"Dodge, Jr., Ronald C. and Carver, Curtis and Ferguson, Aaron J.",Phishing for user security awareness,COMPUTERS \& SECURITY,2007,26,1,73-80,FEB,"User security education and training is one of the most important    aspects of an organizations security posture. Using security exercises    to reinforce this aspect is frequently done by education and industry    alike; however these exercises usually enlist willing participants. We    have taken the concept of using an exercise and modified it in    application to evaluate a users propensity to respond to email phishing    attacks in an unannounced test. This paper describes the considerations    in establishing and the process used to create and implement an    evaluation of one aspect of our user information assurance education    program. The evaluation takes the form of a exercise, where we send out    a phishing styled email record the responses.",ELSEVIER ADVANCED TECHNOLOGY,"OXFORD FULFILLMENT CENTRE THE BOULEVARD, LANGFORD LANE, KIDLINGTON,    OXFORD OX5 1GB, OXON, ENGLAND",Article; Proceedings Paper,English,"Dodge, RC (Corresponding Author), US Mil Acad, Dept Elect Engn \& Comp Sci, West Point, NY 10996 USA.    US Mil Acad, Dept Elect Engn \& Comp Sci, West Point, NY 10996 USA.",10.1016/j.cose.2006.10.009,0167-4048,,phishing; email security; social engineering; security training;    information assurance; spam; computer user education,Computer Science,"Computer Science, Information Systems",article,WOS:000244923900024,,,,"Workshop on Security Culture held at IFIP SEC 2006 Conference, Karlstad,    SWEDEN, MAY, 2006",,,IFIP TC 11 Working Grp 11 1,,,,,,,,,,,,,,
